terDate,deltaT,opType,strike,contract,last,bid,ask,change,%change,volume,openInterest,imVola0
20141114,4,put,24.50,GE141114P00024500,0.01,0.00,0.03,-0.01,-50.00%,20,308,0.4063
20141114,4,put,25.00,GE141114P00025000,0.02,0.01,0.02,0.00,0.00%,10,403,0.2891
20141114,4,put,25.50,GE141114P00025500,0.02,0.02,0.04,-0.03,-60.00%,75,1451,0.2461
20141114,4,put,26.00,GE141114P00026000,0.07,0.06,0.07,-0.03,-30.00%,270,807,0.1758
20141114,4,put,26.50,GE141114P00026500,0.27,0.22,0.25,-0.02,-6.90%,65,347,0.1641
20141114,4,put,29.00,GE141114P00029000,3.85,2.49,2.68,0.00,0.00%,0,1,0.6133
20141122,12,call,18.00,GE141122C00018000,6.25,7.50,8.75,0.00,0.00%,0,50,1.6309
20141122,12,call,19.00,GE141122C00019000,5.20,7.30,7.55,0.00,0.00%,54,92,0.7813
20141122,12,call,19.50,GE141122C00019500,6.05,6.80,7.05,0.00,0.00%,38,38,0.7344
20141122,12,call,20.00,GE141122C00020000,6.15,6.30,6.55,0.00,0.00%,6,209,0.6719
20141122,12,call,21.00,GE141122C00021000,5.23,5.30,5.55,1.03,+24.52%,1,86,0.5703
20141122,12,call,22.00,GE141122C00022000,4.38,4.30,4.50,0.08,+1.86%,8,145,0.6523
20141122,12,call,22.50,GE141122C00022500,2.67,3.80,4.05,0.00,0.00%,61,61,0.6563
20141122,12,call,23.00,GE141122C00023000,3.26,3.30,3.55,0.00,0.00%,1,529,0.5879
20141122,12,call,23.50,GE141122C00023500,2.06,2.82,3.05,0.00,0.00%,0,153,0.5195
20141122,12,call,24.00,GE141122C00024000,2.38,2.33,2.43,0.00,0.00%,3,2205,0.2813
20141122,12,call,24.50,GE141122C00024500,1.78,1.84,2.03,0.00,0.00%,286,689,0.3633
20141122,12,call,25.00,GE141122C00025000,1.38,1.41,1.45,-0.02,-1.43%,307,23165,0.2109
20141122,12,call,25.50,GE141122C00025500,0.95,0.90,0.98,0.04,+4.40%,797,9416,0.1807
20141122,12,call,26.00,GE141122C00026000,0.49,0.52,0.54,-0.03,-5.77%,1385,29620,0.1465
20141122,12,call,26.50,GE141122C00026500,0.18,0.21,0.23,-0.04,-18.18%,724,6774,0.1367
20141122,12,call,27.00,GE141122C00027000,0.05,0.05,0.07,-0.02,-28.57%,721,19638,0.1328
20141122,12,call,27.50,GE141122C00027500,0.01,0.01,0.02,-0.02,-66.67%,548,209,0.1406
20141122,12,call,28.00,GE141122C00028000,0.01,0.00,0.01,-0.01,-50.00%,20,3269,0.1641
20141122,12,call,29.00,GE141122C00029000,0.01,0.00,0.02,0.00,0.00%,0,201,0.2734
20141122,12,call,30.00,GE141122C00030000,0.01,0.00,0.02,0.00,0.00%,1,33,0.3516
20141122,12,call,31.00,GE141122C00031000,0.01,0.00,0.02,0.00,0.00%,30,112,0.4297
20141122,12,call,33.00,GE141122C00033000,0.01,0.00,0.01,0.00,0.00%,50,432,0.5156
20141122,12,put,17.50,GE141122P00017500,0.01,0.00,0.02,0.00,0.00%,5,5,0.9063
20141122,12,put,18.00,GE141122P00018000,0.05,0.00,0.02,0.00,0.00%,0,10,0.8438
20141122,12,put,18.50,GE141122P00018500,0.01,0.00,0.02,0.00,0.00%,0,2,0.7969
20141122,12,put,19.00,GE141122P00019000,0.02,0.00,0.02,0.00,0.00%,20,45,0.75
20141122,12,put,19.50,GE141122P00019500,0.01,0.00,0.02,0.00,0.00%,0,5,0.6875
20141122,12,put,20.00,GE141122P00020000,0.01,0.00,0.02,0.00,0.00%,170,1168,0.6406
20141122,12,put,20.50,GE141122P00020500,0.01,0.00,0.02,0.00,0.00%,32,124,0.5938
20141122,12,put,21.00,GE141122P00021000,0.01,0.00,0.02,0.00,0.00%,80,534,0.5391
20141122,12,put,21.50,GE141122P00021500,0.06,0.00,0.03,0.00,0.00%,241,241,0.5156
20141122,12,put,22.00,GE141122P00022000,0.02,0.00,0.03,0.01,+100.00%,10,3155,0.5234
20141122,12,put,22.50,GE141122P00022500,0.02,0.00,0.03,0.00,0.00%,30,191,0.4688
20141122,12,put,23.00,GE141122P00023000,0.02,0.00,0.03,0.01,+100.00%,10,3065,0.4141
20141122,12,put,23.50,GE141122P00023500,0.01,0.00,0.01,-0.01,-50.00%,60,246,0.2969
20141122,12,put,24.00,GE141122P00024000,0.01,0.01,0.02,-0.01,-50.00%,40,22829,0.2852
20141122,12,put,24.50,GE141122P00024500,0.03,0.01,0.03,0.00,0.00%,100,2591,0.2539
20141122,12,put,25.00,GE141122P00025000,0.03,0.03,0.04,-0.01,-25.00%,107,16512,0.2109
20141122,12,put,25.50,GE141122P00025500,0.07,0.05,0.07,-0.01,-12.50%,165,2406,0.1816
20141122,12,put,26.00,GE141122P00026000,0.13,0.13,0.14,-0.04,-23.53%,645,7777,0.1533
20141122,12,put,26.50,GE141122P00026500,0.34,0.30,0.32,-0.02,-5.56%,229,847,0.1367
20141122,12,put,27.00,GE141122P00027000,0.68,0.65,0.73,-0.02,-2.86%,12,1917,0.1797
20141122,12,put,27.50,GE141122P00027500,1.11,1.05,1.19,-0.07,-5.93%,1,4,0.2217
20141122,12,put,28.00,GE141122P00028000,1.72,1.50,1.68,-0.32,-15.69%,1,134,0.2734
20141122,12,put,29.00,GE141122P00029000,2.60,2.49,2.68,-0.63,-19.50%,11,32,0.3809
20141122,12,put,30.00,GE141122P00030000,4.55,3.45,3.70,0.00,0.00%,40,0,0.502
20141122,12,put,31.00,GE141122P00031000,5.45,4.45,4.70,0.00,0.00%,20,0,0.5938
20141128,18,call,22.50,GE141128C00022500,3.20,3.70,4.05,0.00,0.00%,10,10,0.543
20141128,18,call,23.00,GE141128C00023000,2.60,3.25,3.55,0.00,0.00%,1,42,0.4863
20141128,18,call,23.50,GE141128C00023500,1.22,2.75,3.05,0.00,0.00%,0,31,0.4297
20141128,18,call,24.00,GE141128C00024000,1.65,2.26,2.54,0.00,0.00%,2,25,0.3652
20141128,18,call,24.50,GE141128C00024500,1.20,1.77,2.02,0.00,0.00%,25,57,0.291
20141128,18,call,25.00,GE141128C00025000,0.97,1.35,1.52,0.00,0.00%,10,160,0.2344
20141128,18,call,25.50,GE141128C00025500,0.87,0.93,1.01,-0.03,-3.33%,1,535,0.1699
20141128,18,call,26.00,GE141128C00026000,0.54,0.52,0.59,0.05,+10.20%,22,1547,0.1455
20141128,18,call,26.50,GE141128C00026500,0.25,0.24,0.27,-0.02,-7.41%,229,1671,0.1299
20141128,18,call,27.00,GE141128C00027000,0.09,0.08,0.10,-0.01,-10.00%,252,1016,0.127
20141128,18,put,19.50,GE141128P00019500,0.03,0.00,0.02,0.00,0.00%,0,250,0.5781
20141128,18,put,21.00,GE141128P00021000,0.15,0.00,0.03,0.00,0.00%,0,63,0.5234
20141128,18,put,21.50,GE141128P00021500,0.02,0.00,0.03,0.00,0.00%,0,10,0.4766
20141128,18,put,22.00,GE141128P00022000,0.02,0.00,0.03,-0.01,-33.33%,20,28,0.4336
20141128,18,put,22.50,GE141128P00022500,0.02,0.00,0.03,-0.23,-92.00%,20,28,0.3867
20141128,18,put,23.00,GE141128P00023000,0.02,0.00,0.04,-0.04,-66.67%,10,70,0.3633
20141128,18,put,23.50,GE141128P00023500,0.02,0.01,0.04,-0.07,-77.78%,10,79,0.3164
20141128,18,put,24.00,GE141128P00024000,0.05,0.01,0.05,0.00,0.00%,5,129,0.2832
20141128,18,put,24.50,GE141128P00024500,0.07,0.03,0.06,0.00,0.00%,5,109,0.2461
20141128,18,put,25.00,GE141128P00025000,0.14,0.04,0.08,0.00,0.00%,1,171,0.2129
20141128,18,put,25.50,GE141128P00025500,0.10,0.08,0.10,-0.02,-16.67%,10,419,0.1699
20141128,18,put,26.00,GE141128P00026000,0.19,0.16,0.20,-0.02,-9.52%,14,167,0.1553
20141128,18,put,26.50,GE141128P00026500,0.37,0.35,0.40,-0.10,-21.28%,38,100,0.1465
20141205,25,call,24.00,GE141205C00024000,1.78,2.14,2.54,0.00,0.00%,3,73,0.3115
20141205,25,call,25.00,GE141205C00025000,0.85,1.28,1.51,0.00,0.00%,6,18,0.1943
20141205,25,call,25.50,GE141205C00025500,0.99,0.97,1.08,0.00,0.00%,1,104,0.1807
20141205,25,call,26.00,GE141205C00026000,0.63,0.58,0.67,0.03,+5.00%,168,726,0.1558
20141205,25,call,26.50,GE141205C00026500,0.31,0.29,0.34,0.01,+3.33%,72,360,0.1358
20141205,25,put,22.50,GE141205P00022500,0.05,0.01,0.04,0.00,0.00%,50,50,0.3496
20141205,25,put,23.50,GE141205P00023500,0.02,0.02,0.04,-0.07,-77.78%,15,100,0.2695
20141205,25,put,24.50,GE141205P00024500,0.15,0.04,0.08,0.00,0.00%,20,87,0.2266
20141205,25,put,25.00,GE141205P00025000,0.08,0.07,0.11,-0.02,-20.00%,5,81,0.2012
20141205,25,put,25.50,GE141205P00025500,0.12,0.12,0.14,-0.01,-7.69%,28,447,0.166
20141205,25,put,26.00,GE141205P00026000,0.22,0.22,0.26,-0.05,-18.52%,5,28,0.1558
20141205,25,put,26.50,GE141205P00026500,0.42,0.40,0.47,-0.06,-12.50%,18,42,0.1504
20141212,32,call,25.50,GE141212C00025500,0.97,1.01,1.14,0.00,0.00%,250,338,0.1846
20141212,32,call,26.00,GE141212C00026000,0.66,0.63,0.71,0.01,+1.54%,5,162,0.1519
20141212,32,call,26.50,GE141212C00026500,0.40,0.34,0.40,-0.01,-2.44%,56,318,0.1397
20141212,32,put,23.00,GE141212P00023000,0.05,0.02,0.06,0.00,0.00%,50,50,0.2988
20141212,32,put,23.50,GE141212P00023500,0.06,0.03,0.07,0.00,0.00%,50,50,0.2715
20141212,32,put,24.00,GE141212P00024000,0.10,0.04,0.08,0.00,0.00%,10,30,0.2422
20141212,32,put,24.50,GE141212P00024500,0.15,0.06,0.11,0.00,0.00%,2,12,0.2217
20141212,32,put,25.00,GE141212P00025000,0.13,0.09,0.14,0.00,0.00%,10,191,0.1943
20141212,32,put,26.00,GE141212P00026000,0.27,0.27,0.31,-0.05,-15.62%,5,56,0.1553
20141220,40,call,16.00,GE141220C00016000,10.19,8.05,11.80,0.00,0.00%,32,10,1.8086
20141220,40,call,18.00,GE141220C00018000,7.47,8.05,8.55,0.00,0.00%,24,24,0.7383
20141220,40,call,19.00,GE141220C00019000,7.35,7.25,7.55,0.00,0.00%,6,31,0.6504
20141220,40,call,20.00,GE141220C00020000,6.30,6.25,6.55,0.00,0.00%,80,148,0.5684
20141220,40,call,21.00,GE141220C00021000,3.40,5.25,5.55,0.00,0.00%,20,84,0.4883
20141220,40,call,22.00,GE141220C00022000,4.50,4.30,4.55,0.15,+3.45%,30,354,0.4082
20141220,40,call,23.00,GE141220C00023000,3.37,3.30,3.55,0.51,+17.83%,10,257,0.3311
20141220,40,call,24.00,GE141220C00024000,2.43,2.38,2.48,0.08,+3.40%,142,2899,0.209
20141220,40,call,25.00,GE141220C00025000,1.50,1.45,1.53,0.01,+0.67%,406,9799,0.165
20141220,40,call,26.00,GE141220C00026000,0.69,0.70,0.74,-0.01,-1.43%,866,25897,0.1455
20141220,40,call,27.00,GE141220C00027000,0.21,0.20,0.23,-0.02,-8.70%,1310,51542,0.1309
20141220,40,call,28.00,GE141220C00028000,0.06,0.04,0.06,0.01,+20.00%,94,19985,0.1367
20141220,40,call,29.00,GE141220C00029000,0.02,0.01,0.02,0.00,0.00%,24,5956,0.1543
20141220,40,call,30.00,GE141220C00030000,0.01,0.00,0.03,0.00,0.00%,5,3295,0.2129
20141220,40,call,31.00,GE141220C00031000,0.01,0.00,0.02,0.00,0.00%,40,339,0.2383
20141220,40,call,32.00,GE141220C00032000,0.01,0.00,0.01,0.00,0.00%,1,1425,0.25
20141220,40,call,33.00,GE141220C00033000,0.02,0.00,0.01,0.00,0.00%,156,639,0.2891
20141220,40,put,16.00,GE141220P00016000,0.01,0.00,0.02,0.00,0.00%,33,946,0.6094
20141220,40,put,18.00,GE141220P00018000,0.06,0.00,0.03,0.00,0.00%,35,674,0.5078
20141220,40,put,19.00,GE141220P00019000,0.02,0.00,0.03,0.00,0.00%,31,711,0.4883
20141220,40,put,20.00,GE141220P00020000,0.02,0.01,0.04,-0.02,-50.00%,5,1092,0.4414
20141220,40,put,21.00,GE141220P00021000,0.03,0.01,0.04,-0.01,-25.00%,6,1429,0.375
20141220,40,put,22.00,GE141220P00022000,0.04,0.03,0.04,0.00,0.00%,8,2940,0.3106
20141220,40,put,23.00,GE141220P00023000,0.05,0.04,0.05,0.01,+25.00%,462,13022,0.2578
20141220,40,put,24.00,GE141220P00024000,0.08,0.07,0.09,-0.02,-20.00%,244,23601,0.2236
20141220,40,put,25.00,GE141220P00025000,0.16,0.16,0.17,-0.02,-11.11%,502,30876,0.1875
20141220,40,put,26.00,GE141220P00026000,0.43,0.41,0.42,-0.03,-6.52%,358,15267,0.1719
20141220,40,put,27.00,GE141220P00027000,1.02,0.94,0.99,0.03,+3.03%,139,15536,0.1831
20141220,40,put,28.00,GE141220P00028000,1.89,1.82,1.92,-0.05,-2.58%,10,7888,0.251
20141220,40,put,29.00,GE141220P00029000,3.33,2.79,2.94,0.00,0.00%,10,5806,0.3345
20141220,40,put,30.00,GE141220P00030000,5.87,3.65,3.95,0.00,0.00%,1,633,0.4063
20141220,40,put,31.00,GE141220P00031000,4.80,4.65,4.95,0.00,0.00%,117,120,0.4688
20141220,40,put,32.00,GE141220P00032000,6.42,5.65,6.05,0.00,0.00%,80,89,0.5713
20141220,40,put,33.00,GE141220P00033000,7.30,6.65,7.05,0.00,0.00%,60,65,0.5293
20150117,68,call,13.00,GE150117C00013000,13.32,11.70,14.60,0.00,0.00%,20,3288,1.7041
20150117,68,call,14.00,GE150117C00014000,11.83,10.60,13.95,0.00,0.00%,1,0,1.7295
20150117,68,call,15.00,GE150117C00015000,11.02,9.75,12.10,0.26,+2.42%,10,842,1.1836
20150117,68,call,16.00,GE150117C00016000,8.48,8.65,11.70,0.00,0.00%,10,25,1.3525
20150117,68,call,18.00,GE150117C00018000,8.37,8.15,8.50,0.07,+0.84%,10,1470,0.5195
20150117,68,call,19.00,GE150117C00019000,6.80,7.25,7.55,0.00,0.00%,23,235,0.502
20150117,68,call,20.00,GE150117C00020000,6.35,6.30,6.45,0.00,0.00%,32,8070,0.3399
20150117,68,call,21.00,GE150117C00021000,5.40,5.30,5.55,0.00,0.00%,150,1244,0.375
20150117,68,call,22.00,GE150117C00022000,4.45,4.35,4.50,0.05,+1.14%,66,12802,0.2832
20150117,68,call,23.00,GE150117C00023000,3.40,3.35,3.50,0.17,+5.26%,10,2144,0.2275
20150117,68,call,24.00,GE150117C00024000,2.57,2.42,2.57,0.11,+4.47%,120,3759,0.2041
20150117,68,call,25.00,GE150117C00025000,1.55,1.52,1.60,0.00,0.00%,369,79604,0.1509
20150117,68,call,26.00,GE150117C00026000,0.81,0.82,0.84,-0.02,-2.41%,866,34225,0.1348
20150117,68,call,27.00,GE150117C00027000,0.33,0.34,0.35,-0.01,-2.94%,13129,111997,0.1294
20150117,68,call,28.00,GE150117C00028000,0.11,0.11,0.12,-0.01,-8.33%,91,16555,0.1299
20150117,68,call,29.00,GE150117C00029000,0.04,0.04,0.05,0.00,0.00%,26,6345,0.1426
20150117,68,call,30.00,GE150117C00030000,0.02,0.02,0.03,0.00,0.00%,106,147976,0.1641
20150117,68,call,31.00,GE150117C00031000,0.04,0.01,0.03,0.00,0.00%,6,642,0.1973
20150117,68,call,32.00,GE150117C00032000,0.01,0.01,0.02,0.00,0.00%,1,16638,0.2149
20150117,68,call,33.00,GE150117C00033000,0.01,0.00,0.02,0.00,0.00%,100,513,0.2422
20150117,68,call,34.00,GE150117C00034000,0.01,0.00,0.02,0.00,0.00%,30,176,0.2695
20150117,68,call,35.00,GE150117C00035000,0.02,0.00,0.02,0.00,0.00%,34,17589,0.2969
20150117,68,put,13.00,GE150117P00013000,0.01,0.00,0.02,0.00,0.00%,40,23882,0.6484
20150117,68,put,14.00,GE150117P00014000,0.04,0.00,0.02,0.00,0.00%,384,573,0.5859
20150117,68,put,15.00,GE150117P00015000,0.01,0.00,0.02,0.00,0.00%,10,52946,0.5313
20150117,68,put,16.00,GE150117P00016000,0.06,0.00,0.03,0.00,0.00%,20,273,0.5469
20150117,68,put,18.00,GE150117P00018000,0.03,0.01,0.03,0.00,0.00%,78,55863,0.4297
20150117,68,put,19.00,GE150117P00019000,0.03,0.02,0.04,0.00,0.00%,12,11740,0.3945
20150117,68,put,20.00,GE150117P00020000,0.04,0.04,0.05,-0.01,-20.00%,80,67336,0.3555
20150117,68,put,21.00,GE150117P00021000,0.07,0.04,0.07,0.00,0.00%,1,3965,0.3223
20150117,68,put,22.00,GE150117P00022000,0.07,0.07,0.08,-0.03,-30.00%,199,62404,0.2754
20150117,68,put,23.00,GE150117P00023000,0.11,0.09,0.11,-0.01,-8.33%,25,19884,0.2393
20150117,68,put,24.00,GE150117P00024000,0.17,0.15,0.17,-0.01,-5.56%,311,30445,0.208
20150117,68,put,25.00,GE150117P00025000,0.30,0.29,0.30,-0.02,-6.25%,2610,68881,0.1836
20150117,68,put,26.00,GE150117P00026000,0.60,0.58,0.60,-0.03,-4.76%,436,26844,0.1733
20150117,68,put,27.00,GE150117P00027000,1.17,1.13,1.14,0.01,+0.86%,326,23030,0.1753
20150117,68,put,28.00,GE150117P00028000,2.09,1.84,2.03,0.08,+3.98%,1,2062,0.2227
20150117,68,put,29.00,GE150117P00029000,3.45,2.77,2.97,0.00,0.00%,5,1123,0.2666
20150117,68,put,30.00,GE150117P00030000,3.90,3.75,4.00,-0.05,-1.27%,10,17968,0.3291
20150117,68,put,31.00,GE150117P00031000,7.05,4.70,5.00,0.00,0.00%,10,423,0.3779
20150117,68,put,32.00,GE150117P00032000,6.65,5.70,6.00,0.00,0.00%,10,1263,0.4238
20150117,68,put,33.00,GE150117P00033000,7.95,6.70,7.00,0.00,0.00%,21,582,0.4663
20150117,68,put,34.00,GE150117P00034000,9.00,7.60,8.25,0.00,0.00%,50,492,0.5918
20150117,68,put,35.00,GE150117P00035000,10.25,8.45,9.25,0.00,0.00%,4,11105,0.6323
20150220,102,call,20.00,GE150220C00020000,6.30,6.05,6.55,0.00,0.00%,150,250,0.3584
20150220,102,call,22.00,GE150220C00022000,4.36,4.35,4.60,-0.04,-0.91%,20,39,0.2803
20150220,102,call,23.00,GE150220C00023000,3.43,3.25,3.60,0.17,+5.21%,20,94,0.2285
20150220,102,call,24.00,GE150220C00024000,2.35,2.40,2.64,0.00,0.00%,1,331,0.189
20150220,102,call,25.00,GE150220C00025000,1.65,1.63,1.71,0.03,+1.85%,97,1587,0.1504
20150220,102,call,26.00,GE150220C00026000,0.97,0.94,1.05,0.07,+7.78%,6,1217,0.1492
20150220,102,call,27.00,GE150220C00027000,0.50,0.49,0.52,0.00,0.00%,663,4704,0.1377
20150220,102,call,28.00,GE150220C00028000,0.22,0.22,0.23,0.02,+10.00%,90,354,0.1353
20150220,102,call,29.00,GE150220C00029000,0.10,0.06,0.13,0.00,0.00%,0,1,0.1499
20150220,102,put,19.00,GE150220P00019000,0.09,0.03,0.10,0.00,0.00%,10,11,0.3828
20150220,102,put,20.00,GE150220P00020000,0.09,0.05,0.12,0.00,0.00%,2,22,0.3457
20150220,102,put,21.00,GE150220P00021000,0.12,0.07,0.15,0.00,0.00%,4,34,0.3125
20150220,102,put,22.00,GE150220P00022000,0.19,0.12,0.19,0.00,0.00%,5,170,0.2803
20150220,102,put,23.00,GE150220P00023000,0.25,0.19,0.26,0.00,0.00%,2,145,0.2529
20150220,102,put,24.00,GE150220P00024000,0.33,0.31,0.34,-0.05,-13.16%,41,885,0.2197
20150220,102,put,25.00,GE150220P00025000,0.52,0.50,0.57,-0.08,-13.33%,136,311,0.2092
20150220,102,put,26.00,GE150220P00026000,0.89,0.88,0.92,-0.02,-2.20%,668,806,0.2007
20150220,102,put,27.00,GE150220P00027000,1.45,1.45,1.53,-0.05,-3.33%,3,870,0.2144
20150220,102,put,28.00,GE150220P00028000,2.26,2.16,2.31,-0.54,-19.29%,12,453,0.2383
20150220,102,put,29.00,GE150220P00029000,4.30,3.00,3.45,0.00,0.00%,0,28,0.3206
20150320,130,call,15.00,GE150320C00015000,10.40,9.05,11.50,0.00,0.00%,10,10,0.5254
20150320,130,call,16.00,GE150320C00016000,9.85,8.05,10.50,0.00,0.00%,0,4,0.4727
20150320,130,call,18.00,GE150320C00018000,7.60,8.05,8.80,0.00,0.00%,4,10,0.5342
20150320,130,call,19.00,GE150320C00019000,7.00,7.05,7.55,0.00,0.00%,2,2,0.3643
20150320,130,call,20.00,GE150320C00020000,6.25,6.10,6.45,0.85,+15.74%,3,86,0.2461
20150320,130,call,21.00,GE150320C00021000,4.60,5.10,5.60,0.00,0.00%,40,77,0.2949
20150320,130,call,22.00,GE150320C00022000,4.35,4.15,4.55,0.05,+1.16%,50,1956,0.2285
20150320,130,call,23.00,GE150320C00023000,3.40,3.30,3.60,0.52,+18.06%,50,949,0.2022
20150320,130,call,24.00,GE150320C00024000,2.40,2.49,2.62,0.00,0.00%,149,1683,0.1621
20150320,130,call,25.00,GE150320C00025000,1.72,1.68,1.77,0.02,+1.18%,111,14725,0.1455
20150320,130,call,26.00,GE150320C00026000,1.03,1.01,1.07,0.00,0.00%,434,15645,0.1355
20150320,130,call,27.00,GE150320C00027000,0.57,0.55,0.59,0.04,+7.55%,505,29055,0.1336
20150320,130,call,28.00,GE150320C00028000,0.28,0.27,0.30,0.01,+3.70%,141,7543,0.1345
20150320,130,call,29.00,GE150320C00029000,0.09,0.09,0.15,0.00,0.00%,5,1916,0.1387
20150320,130,call,30.00,GE150320C00030000,0.05,0.05,0.08,0.00,0.00%,50,3067,0.1465
20150320,130,call,31.00,GE150320C00031000,0.03,0.01,0.05,0.00,0.00%,7,243,0.1582
20150320,130,call,32.00,GE150320C00032000,0.03,0.00,0.04,0.00,0.00%,130,699,0.1748
20150320,130,call,33.00,GE150320C00033000,0.03,0.00,0.03,0.00,0.00%,60,155,0.1875
20150320,130,call,35.00,GE150320C00035000,0.02,0.00,0.03,0.00,0.00%,1,318,0.2285
20150320,130,put,15.00,GE150320P00015000,0.03,0.02,0.05,0.00,0.00%,5,660,0.4766
20150320,130,put,16.00,GE150320P00016000,0.09,0.01,0.06,0.00,0.00%,10,55,0.4414
20150320,130,put,18.00,GE150320P00018000,0.03,0.03,0.10,-0.01,-25.00%,12,782,0.3848
20150320,130,put,19.00,GE150320P00019000,0.09,0.07,0.13,-0.01,-10.00%,30,458,0.3584
20150320,130,put,20.00,GE150320P00020000,0.12,0.08,0.15,-0.01,-7.69%,180,1944,0.3232
20150320,130,put,21.00,GE150320P00021000,0.16,0.09,0.19,0.00,0.00%,150,1766,0.2949
20150320,130,put,22.00,GE150320P00022000,0.20,0.17,0.24,0.00,0.00%,9,15983,0.2661
20150320,130,put,23.00,GE150320P00023000,0.29,0.25,0.32,-0.04,-12.12%,27,15388,0.2407
20150320,130,put,24.00,GE150320P00024000,0.43,0.39,0.44,0.00,0.00%,254,6937,0.2173
20150320,130,put,25.00,GE150320P00025000,0.65,0.64,0.66,-0.03,-4.41%,265,13574,0.2022
20150320,130,put,26.00,GE150320P00026000,1.03,1.00,1.03,-0.04,-3.74%,352,9200,0.1956
20150320,130,put,27.00,GE150320P00027000,1.55,1.50,1.60,-0.05,-3.13%,6,1848,0.2012
20150320,130,put,28.00,GE150320P00028000,2.80,2.20,2.38,0.00,0.00%,6,682,0.2232
20150320,130,put,29.00,GE150320P00029000,3.30,3.10,3.35,-0.56,-14.51%,15,499,0.2666
20150320,130,put,30.00,GE150320P00030000,4.70,4.00,4.45,0.00,0.00%,10,1028,0.3284
20150320,130,put,31.00,GE150320P00031000,6.20,4.95,5.45,0.00,0.00%,1,1,0.3687
20150320,130,put,32.00,GE150320P00032000,6.38,5.95,6.45,0.00,0.00%,50,144,0.4058
20150320,130,put,33.00,GE150320P00033000,7.96,6.95,7.45,0.00,0.00%,12,63,0.4404
20150320,130,put,34.00,GE150320P00034000,9.05,6.05,10.40,0.00,0.00%,25,25,0.8213
20150320,130,put,35.00,GE150320P00035000,9.70,6.80,11.00,0.00,0.00%,30,68,0.79
20150619,221,call,20.00,GE150619C00020000,5.30,6.05,6.55,0.00,0.00%,50,58,0.2437
20150619,221,call,22.00,GE150619C00022000,4.40,4.20,4.60,0.00,0.00%,249,344,0.1904
20150619,221,call,23.00,GE150619C00023000,3.40,3.35,3.60,0.00,0.00%,10,913,0.1553
20150619,221,call,24.00,GE150619C00024000,2.55,2.61,2.77,0.00,0.00%,15,209,0.1528
20150619,221,call,25.00,GE150619C00025000,1.86,1.84,1.95,-0.04,-2.11%,13,11942,0.1382
20150619,221,call,26.00,GE150619C00026000,1.26,1.24,1.32,-0.04,-3.08%,162,8522,0.1353
20150619,221,call,27.00,GE150619C00027000,0.80,0.76,0.85,0.02,+2.56%,170,10598,0.1348
20150619,221,call,28.00,GE150619C00028000,0.47,0.46,0.50,-0.03,-6.00%,293,3193,0.1323
20150619,221,call,29.00,GE150619C00029000,0.20,0.21,0.30,0.00,0.00%,6,1960,0.1353
20150619,221,call,30.00,GE150619C00030000,0.15,0.12,0.20,0.05,+50.00%,2,1623,0.1436
20150619,221,call,31.00,GE150619C00031000,0.11,0.07,0.12,0.03,+37.50%,30,214,0.1465
20150619,221,call,32.00,GE150619C00032000,0.07,0.02,0.08,0.00,0.00%,150,236,0.1533
